Trait.type,Rate,Taxon,Study,Mean.Rate,Taxon2,NatExp,Species
M,0.0028,V,s10,0.004128571,A,N,Zosterops.lateralis.chlorocephalus
M,0.0028,V,s10,0.004128571,A,N,Zosterops.lateralis.chlorocephalus
M,0.0039,V,s10,0.004128571,A,N,Zosterops.lateralis.chlorocephalus
M,0.0049,V,s10,0.004128571,A,N,Zosterops.lateralis.chlorocephalus
M,0.007,V,s10,0.004128571,A,N,Zosterops.lateralis.chlorocephalus
M,0.0037,V,s10,0.004128571,A,N,Zosterops.lateralis.chlorocephalus
M,0.0038,V,s10,0.004128571,A,N,Zosterops.lateralis.chlorocephalus
M,-0.15,V,s11,-0.034741407,A,N,Ovis.canadensis
M,-0.14,V,s11,-0.034741407,A,N,Ovis.canadensis
M,0.036,I,s12,0.036,A,N,daphnia
L,0.04,P,s13,0.391467185,P,N,Hypericum.canariense
L,0.03,P,s13,0.391467185,P,N,Hypericum.canariense
M,0.23,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.87,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.72,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.52,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.28,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.32,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.23,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.19,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.23,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.31,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.26,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.42,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.38,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.43,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.32,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.93,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.65,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.69,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.47,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.4,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.48,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.44,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.21,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.31,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.11,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.26,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.16,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.6,I,s14,0.407857143,A,N,Asellus.aquaticus.(wild-caught)
M,0.019,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
M,0.002,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
L,0.011,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
M,0.006,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
M,0.01,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
L,0.005,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
M,0.003,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
M,0.009,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
L,0.008,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
M,0.034,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
M,0.036,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
L,0.009,I,s15,0.008547851,A,N,Daphnia.melanica.(lower.goethe.pop.)
L,-0.09,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.11,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.14,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.15,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.11,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.17,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.14,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.15,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.22,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.3,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.18,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.18,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.12,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.24,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.23,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.22,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.68,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.23,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.1,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.2,V,s16,-0.198,A,N,Ficedula.hypoleuca
L,-0.099,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.098,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.091,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.156,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.161,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.059,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.126,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.076,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.069,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.083,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.065,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.104,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.074,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.046,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.025,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.034,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.011,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.074,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.036,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.051,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.034,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.049,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.034,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.038,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.029,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.028,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.051,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.027,V,s17,-0.047999407,A,N,Turdus.merula
L,-0.102,V,s17,-0.047999407,A,N,Turdus.merula
M,0.0047,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0138,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0086,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0018,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0101,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0082,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0075,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0063,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0063,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.008,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0048,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0052,I,s18,0.007108333,A,N,Drosophila.subobscura.(North.America)
M,0.0047,I,s19,0.088036773,A,N,Drosophila.subobscura
M,0.0138,I,s19,0.088036773,A,N,Drosophila.subobscura
M,0.0086,I,s19,0.088036773,A,N,Drosophila.subobscura
M,0.0018,I,s19,0.088036773,A,N,Drosophila.subobscura
M,0.0101,I,s19,0.088036773,A,N,Drosophila.subobscura
M,0.0082,I,s19,0.088036773,A,N,Drosophila.subobscura
M,1.08,V,s20,-0.077276695,A,N,Onychodiaptomus.sanguineus
M,-0.095,V,s20,-0.077276695,A,N,Onychodiaptomus.sanguineus
M,0.01,V,s20,-0.077276695,A,N,Onychodiaptomus.sanguineus
L,-0.406,I,s20,-0.077276695,A,N,Onychodiaptomus.sanguineus
L,0,I,s20,-0.077276695,A,N,Onychodiaptomus.sanguineus
L,0.012,I,s20,-0.077276695,A,N,Onychodiaptomus.sanguineus
M,0.08,I,s21,0.017684211,A,N,Asellus.aquaticus
M,0.22,I,s21,0.017684211,A,N,Asellus.aquaticus
L,0.012,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,0.023,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,0.05,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.0334,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.011,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.002,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.007,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.089,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.015,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.017,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.025,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,0.129,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,0.062,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.028,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.017,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.102,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,0.085,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,0.125,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.181,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.085,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.157,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.167,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.359,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.151,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.087,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.169,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,0.174,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,0.131,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.091,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,0.059,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.045,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,0.008,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.015,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.005,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.013,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.011,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.074,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.063,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.073,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.059,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.343,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
M,-0.244,V,s22,0.020270175,A,N,Thymallus.thymallus.(divergence)
L,-1.2,V,s23,0.017164428,A,N,Oncorhynchus.tshawytscha
M,0.22,I,s24,0.050151023,A,N,Drosophila.subobscura
M,0.0784,I,s24,0.050151023,A,N,Drosophila.subobscura
L,0.009,V,s25,0.017847732,A,N,Oncorhynchus.tshawytscha
L,0.03,V,s25,0.017847732,A,N,Oncorhynchus.tshawytscha
M,-0.8,V,s26,-0.03039538,A,N,Gasterosteus.aculeatus
M,-0.47,V,s26,-0.03039538,A,N,Gasterosteus.aculeatus
M,-0.27,V,s26,-0.03039538,A,N,Gasterosteus.aculeatus
M,0.19,V,s26,-0.03039538,A,N,Gasterosteus.aculeatus
M,0.16,V,s26,-0.03039538,A,N,Gasterosteus.aculeatus
M,0.0143,V,s27,-0.03039538,A,N,Sceloporus.undulatus
M,0.0227,V,s27,-0.03039538,A,N,Sceloporus.undulatus
M,0.032,V,s28,0.014722325,A,N,Pitangus.sulphuratus
M,0.0231,V,s28,0.014722325,A,N,Pitangus.sulphuratus
M,0.018,V,s28,0.014722325,A,N,Pitangus.sulphuratus
M,0.0225,V,s28,0.014722325,A,N,Pitangus.sulphuratus
M,0.0354,V,s28,0.014722325,A,N,Pitangus.sulphuratus
M,0.02,V,s28,0.014722325,A,N,Pitangus.sulphuratus
M,0.351,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.232,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.205,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.187,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.172,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.17,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.106,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.086,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.085,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.079,V,s29,0.139504683,A,N,Salvelinus.alpinus
M,0.0071,V,s30,-0.353480458,A,N,Alosa.pseudoharengus
M,0.0007,V,s30,-0.353480458,A,N,Alosa.pseudoharengus
M,0.0035,V,s30,-0.353480458,A,N,Alosa.pseudoharengus
M,0.0004,V,s30,-0.353480458,A,N,Alosa.pseudoharengus
M,-1.2,V,s31,-0.353480458,A,N,Gadus.morhua
M,-1.5,V,s31,-0.353480458,A,N,Gadus.morhua
M,-0.63,V,s31,-0.353480458,A,N,Gadus.morhua
M,0.001,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.003,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.005,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.005,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.001,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.001,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.002,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.002,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.002,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.002,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.003,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.004,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.006,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.003,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.004,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.006,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.008,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.006,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.004,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.003,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.008,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.006,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.007,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.005,V,s32,-0.003753198,A,N,Rattus.rattus
M,0.004,V,s32,-0.003753198,A,N,Rattus.rattus
M,-0.0211,V,s33,-0.003753198,A,N,Bufo.marinus
M,-0.0161,V,s33,-0.003753198,A,N,Bufo.marinus
M,0.653,V,s34,0.205266667,A,N,Sorex.araneus
P,0.01,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
P,0.031,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
P,0.026,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
L,0.048,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
L,0.012,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
L,0.02,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
M,0.038,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
L,0.011,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
L,0.02,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
L,0.021,V,s35,0.024714286,A,N,Oncorhynchus.tshawytscha
P,0.007,V,s36,0.024714286,A,N,Rana.arvalis
P,0.102,V,s36,0.024714286,A,N,Rana.arvalis
M,0.014,V,s37,0.043518307,A,N,Sylvia.atricapilla
M,0.02,V,s37,0.043518307,A,N,Sylvia.atricapilla
M,0.0105,I,s38,0.043518307,A,N,Drosophila.subobscura
M,0.0068,I,s38,0.043518307,A,N,Drosophila.subobscura
P,0.255,V,s39,0.030362531,A,N,Rana.sylvatica
M,0.474,V,s40,0.062243943,A,N,Metriaclima.zebra
M,0.13,V,s41,0.062243943,A,N,Oncorhynchus.tshawytscha
M,0.101,V,s41,0.062243943,A,N,Oncorhynchus.tshawytscha
M,0.045,V,s41,0.062243943,A,N,Oncorhynchus.tshawytscha
S,-0.053,V,s41,0.062243943,A,N,Oncorhynchus.tshawytscha
S,-0.005,V,s41,0.062243943,A,N,Oncorhynchus.tshawytscha
S,-0.093,V,s41,0.062243943,A,N,Oncorhynchus.tshawytscha
S,0.57,V,s41,0.062243943,A,N,Oncorhynchus.tshawytscha
M,0.098,V,s41,0.062243943,A,N,Oncorhynchus.tshawytscha
M,0.157,V,s41,0.062243943,A,N,Oncorhynchus.tshawytscha
M,0.000221,V,s42,-0.245262635,A,N,Curculio.camelliae
M,0.000249,V,s42,-0.245262635,A,N,Curculio.camelliae
M,0.15,V,s43,0.012267031,A,N,Malaclemys.terrapin
M,0.0185,V,s43,0.012267031,A,N,Malaclemys.terrapin
S,0.19,V,s44,0.012267031,A,N,Junco.hyemalis
M,-0.003959514,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.003826108,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.003583758,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.00343872,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.002958729,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.002620925,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.002581274,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.002246868,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.001058365,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.000924267,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.000712799,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.000643863,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.000424691,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.000332506,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.000213991,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.000317464,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.00035732,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.000652314,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.000724152,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.000843564,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.002112418,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.002298183,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.002485822,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.002620484,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.002698602,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.003003575,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.00344196,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.009787357,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.00890928,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.00831527,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.008225168,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.006180188,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.006043358,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.004723753,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.004649783,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.004620594,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.004297484,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.004253746,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.00406957,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.004048266,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.002446631,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.001583519,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.000326249,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.000325451,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,-0.000290425,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.00056508,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.000871277,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.002111362,V,s45,-0.000730786,A,N,Fringilla.coelebs
M,0.003624047,V,s45,-0.000730786,A,N,Fringilla.coelebs
