Dbase,StudyID,Taxon,Trait.type,Beta,Beta_SE,abs_Beta,Gamma,Gamma_SE,GamPos,GamNeg,Species
WPetal,5WP,I,S,0.02,0.093,0.02,-0.121,0.062,NA,-0.121,Teleogryllus.commodus
WPetal,5WP,I,S,0.143,0.093,0.143,-0.081,0.046,NA,-0.081,Teleogryllus.commodus
WPetal,5WP,I,S,0.016,0.092,0.016,0.117,0.055,0.117,NA,Teleogryllus.commodus
WPetal,5WP,I,S,-0.171,0.093,0.171,-0.011,0.068,NA,-0.011,Teleogryllus.commodus
WPetal,5WP,I,S,0.385,0.093,0.385,0.071,0.1,0.071,NA,Teleogryllus.commodus
WPetal,6WP,I,S,0.044,NA,0.044,-0.246,NA,NA,-0.246,Aquarius.remigis
WPetal,6WP,I,S,0.532,NA,0.532,-0.211,NA,NA,-0.211,Aquarius.remigis
WPetal,6WP,I,S,0.484,NA,0.484,-0.08,NA,NA,-0.08,Aquarius.remigis
WPetal,6WP,I,S,0.309,NA,0.309,-0.128,NA,NA,-0.128,Aquarius.remigis
WPetal,6WP,I,S,0.105,NA,0.105,-0.137,NA,NA,-0.137,Aquarius.remigis
WPetal,6WP,I,S,0.056,NA,0.056,0.226,NA,0.226,NA,Aquarius.remigis
WPetal,6WP,I,S,-0.014,NA,0.014,-0.087,NA,NA,-0.087,Aquarius.remigis
WPetal,6WP,I,S,-0.09,NA,0.09,0.011,NA,0.011,NA,Aquarius.remigis
WPetal,6WP,I,S,0.039,NA,0.039,-0.198,NA,NA,-0.198,Aquarius.remigis
WPetal,6WP,I,S,-0.074,NA,0.074,-0.202,NA,NA,-0.202,Aquarius.remigis
WPetal,6WP,I,S,-0.502,NA,0.502,0.92,NA,0.92,NA,Aquarius.remigis
WPetal,6WP,I,S,0.173,NA,0.173,0.527,NA,0.527,NA,Aquarius.remigis
WPetal,6WP,I,S,0.026,NA,0.026,-0.237,NA,NA,-0.237,Aquarius.remigis
WPetal,6WP,I,S,0.207,NA,0.207,0.069,NA,0.069,NA,Aquarius.remigis
WPetal,6WP,I,S,0.001,NA,0.001,0.704,NA,0.704,NA,Aquarius.remigis
WPetal,6WP,I,S,-0.316,NA,0.316,0.101,NA,0.101,NA,Aquarius.remigis
WPetal,6WP,I,S,0.571,NA,0.571,0.023,NA,0.023,NA,Aquarius.remigis
WPetal,6WP,I,S,0.948,NA,0.948,0.031,NA,0.031,NA,Aquarius.remigis
WPetal,6WP,I,S,0.067,NA,0.067,0.227,NA,0.227,NA,Aquarius.remigis
WPetal,6WP,I,S,-0.319,NA,0.319,0.253,NA,0.253,NA,Aquarius.remigis
WPetal,6WP,I,S,-0.384,NA,0.384,-0.139,NA,NA,-0.139,Aquarius.remigis
WPetal,6WP,I,S,-0.342,NA,0.342,-0.046,NA,NA,-0.046,Aquarius.remigis
WPetal,6WP,I,S,-0.589,NA,0.589,-0.107,NA,NA,-0.107,Aquarius.remigis
WPetal,6WP,I,S,-0.354,NA,0.354,0.119,NA,0.119,NA,Aquarius.remigis
WPetal,6WP,I,S,-0.666,NA,0.666,0.237,NA,0.237,NA,Aquarius.remigis
WPetal,6WP,I,S,-0.272,NA,0.272,0.019,NA,0.019,NA,Aquarius.remigis
WPetal,6WP,I,S,-0.307,NA,0.307,-0.134,NA,NA,-0.134,Aquarius.remigis
WPetal,6WP,I,S,-0.11,NA,0.11,-0.258,NA,NA,-0.258,Aquarius.remigis
WPetal,6WP,I,S,-0.237,NA,0.237,0.111,NA,0.111,NA,Aquarius.remigis
WPetal,6WP,I,S,-0.095,NA,0.095,-0.009,NA,NA,-0.009,Aquarius.remigis
WPetal,7WP,V,S,0.017,NA,0.017,-0.028,NA,NA,-0.028,Poecilia.reticulata
WPetal,7WP,V,S,0.116,NA,0.116,0.06,NA,0.06,NA,Poecilia.reticulata
WPetal,7WP,V,S,0.069,NA,0.069,0.008,NA,0.008,NA,Poecilia.reticulata
WPetal,7WP,V,S,-0.008,NA,0.008,-0.014,NA,NA,-0.014,Poecilia.reticulata
WPetal,7WP,V,S,0.122,NA,0.122,-0.028,NA,NA,-0.028,Poecilia.reticulata
WPetal,7WP,V,S,0.118,NA,0.118,0.042,NA,0.042,NA,Poecilia.reticulata
WPetal,9WP,V,S,-0.095,NA,0.095,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.176,NA,0.176,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.077,NA,0.077,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.016,NA,0.016,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.205,NA,0.205,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.127,NA,0.127,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.151,NA,0.151,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.034,NA,0.034,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,-0.134,NA,0.134,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.081,NA,0.081,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.063,NA,0.063,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.038,NA,0.038,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.006,NA,0.006,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.22,NA,0.22,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.181,NA,0.181,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,-0.022,NA,0.022,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,-0.075,NA,0.075,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,-0.009,NA,0.009,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.06,NA,0.06,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.042,NA,0.042,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.223,NA,0.223,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.058,NA,0.058,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,-0.139,NA,0.139,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,-0.02,NA,0.02,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.237,NA,0.237,NA,NA,NA,NA,Poecilia.reticulata
WPetal,9WP,V,S,0.317,NA,0.317,NA,NA,NA,NA,Poecilia.reticulata
WPetal,10WP,I,S,0.007,NA,0.007,0.006,NA,0.006,NA,Teleogryllus.commodus
WPetal,10WP,I,S,-0.003,NA,0.003,-0.006,NA,NA,-0.006,Teleogryllus.commodus
WPetal,10WP,I,S,0.015,NA,0.015,-0.04,NA,NA,-0.04,Teleogryllus.commodus
WPetal,10WP,I,S,-0.214,NA,0.214,-0.08,NA,NA,-0.08,Teleogryllus.commodus
WPetal,10WP,I,S,0.059,NA,0.059,-0.047,NA,NA,-0.047,Teleogryllus.commodus
WPetal,11WP,V,M,0.29,0.31,0.29,0.22,0.1,0.22,NA,Anolis.sagrei
WPetal,11WP,V,M,0.04,0.23,0.04,0.17,0.1,0.17,NA,Anolis.sagrei
WPetal,11WP,V,M,-0.13,0.18,0.13,0.29,0.08,0.29,NA,Anolis.sagrei
WPetal,11WP,V,M,-0.13,0.18,0.13,0.21,0.09,0.21,NA,Anolis.sagrei
WPetal,11WP,V,M,0.13,0.17,0.13,-0.06,0.13,NA,-0.06,Anolis.sagrei
WPetal,11WP,V,M,-0.04,0.18,0.04,0.04,0.09,0.04,NA,Anolis.sagrei
WPetal,12WP,V,M,0.03,0.15,0.03,-0.24,NA,NA,-0.24,Anolis.sagrei
WPetal,12WP,V,M,0.04,0.12,0.04,-0.08,NA,NA,-0.08,Anolis.sagrei
WPetal,12WP,V,M,0.35,0.37,0.35,0.56,NA,0.56,NA,Anolis.sagrei
WPetal,12WP,V,M,0.05,0.28,0.05,0.38,NA,0.38,NA,Anolis.sagrei
WPetal,12WP,V,M,0.52,0.28,0.52,0.06,NA,0.06,NA,Anolis.sagrei
WPetal,12WP,V,M,0.19,0.28,0.19,-0.02,NA,NA,-0.02,Anolis.sagrei
WPetal,12WP,V,M,-0.32,0.29,0.32,0.62,NA,0.62,NA,Anolis.sagrei
WPetal,12WP,V,M,-0.18,0.29,0.18,0.56,NA,0.56,NA,Anolis.sagrei
WPetal,12WP,V,M,0.03,0.51,0.03,-0.04,NA,NA,-0.04,Anolis.sagrei
WPetal,12WP,V,M,-0.22,0.32,0.22,-0.01,NA,NA,-0.01,Anolis.sagrei
WPetal,12WP,V,M,-0.02,0.37,0.02,-0.3,NA,NA,-0.3,Anolis.sagrei
WPetal,12WP,V,M,0.02,0.29,0.02,0.08,NA,0.08,NA,Anolis.sagrei
WPetal,12WP,V,M,-0.37,0.48,0.37,0.12,NA,0.12,NA,Anolis.sagrei
WPetal,12WP,V,M,0.09,0.37,0.09,0.02,NA,0.02,NA,Anolis.sagrei
WPetal,13WP,V,M,0.09,0.14,0.09,-0.34,0.22,NA,-0.34,Anolis.sagrei
WPetal,13WP,V,M,0.03,0.14,0.03,-0.3,0.26,NA,-0.3,Anolis.sagrei
WPetal,13WP,V,M,0.03,0.17,0.03,0.16,0.2,0.16,NA,Anolis.sagrei
WPetal,13WP,V,M,-0.13,0.15,0.13,0.14,0.2,0.14,NA,Anolis.sagrei
WPetal,13WP,V,M,-0.13,0.15,0.13,0.24,0.26,0.24,NA,Anolis.sagrei
WPetal,13WP,V,M,0.05,0.15,0.05,0.6,0.22,0.6,NA,Anolis.sagrei
WPetal,13WP,V,M,0.04,0.12,0.04,-0.006,0.16,NA,-0.006,Anolis.sagrei
WPetal,13WP,V,M,-0.03,0.12,0.03,0.38,0.18,0.38,NA,Anolis.sagrei
WPetal,13WP,V,M,-0.23,0.11,0.23,-0.12,0.16,NA,-0.12,Anolis.sagrei
WPetal,13WP,V,M,-0.03,0.1,0.03,0.12,0.12,0.12,NA,Anolis.sagrei
WPetal,13WP,V,M,0.13,0.1,0.13,-0.1,0.14,NA,-0.1,Anolis.sagrei
WPetal,13WP,V,M,0.09,0.13,0.09,0.02,0.18,0.02,NA,Anolis.sagrei
WPetal,13WP,V,M,-0.12,0.23,0.12,0.4,0.46,0.4,NA,Anolis.sagrei
WPetal,13WP,V,M,0.07,0.23,0.07,0.44,0.48,0.44,NA,Anolis.sagrei
WPetal,13WP,V,M,0.55,0.23,0.55,0.08,0.28,0.08,NA,Anolis.sagrei
WPetal,13WP,V,M,-0.14,0.17,0.14,-0.28,0.28,NA,-0.28,Anolis.sagrei
WPetal,13WP,V,M,-0.08,0.17,0.08,-0.32,0.3,NA,-0.32,Anolis.sagrei
WPetal,13WP,V,M,0.06,0.19,0.06,0.2,0.22,0.2,NA,Anolis.sagrei
WPetal,14WP,V,L,0.24,0.52,0.24,0.28,0.39,0.28,NA,Podarcis.muralis
WPetal,14WP,V,L,-0.02,0.59,0.02,0.02,0.48,0.02,NA,Podarcis.muralis
WPetal,14WP,V,L,0.16,0.22,0.16,-0.08,0.08,NA,-0.08,Podarcis.muralis
WPetal,14WP,V,L,0.11,0.19,0.11,0.11,0.14,0.11,NA,Podarcis.muralis
WPetal,14WP,V,L,-1.05,0.79,1.05,0.13,0.73,0.13,NA,Podarcis.muralis
WPetal,14WP,V,L,-0.1,0.65,0.1,-0.72,0.7,NA,-0.72,Podarcis.muralis
WPetal,14WP,V,L,2.81,1.29,2.81,1.47,1.26,1.47,NA,Podarcis.muralis
WPetal,14WP,V,L,-0.38,0.86,0.38,-0.51,1.3,NA,-0.51,Podarcis.muralis
WPetal,14WP,V,L,-1.7,NA,1.7,-14.79,NA,NA,-14.79,Podarcis.muralis
WPetal,14WP,V,L,0.29,NA,0.29,-0.69,NA,NA,-0.69,Podarcis.muralis
WPetal,15WP,V,L,0.02,0.04,0.02,0.02,0.03,0.02,NA,Anolis.sagrei
WPetal,15WP,V,L,0.03,0.04,0.03,0.001,0.03,0.001,NA,Anolis.sagrei
WPetal,15WP,V,L,0.05,0.06,0.05,0.04,0.06,0.04,NA,Anolis.sagrei
WPetal,15WP,V,L,-0.01,0.05,0.01,-0.04,0.05,NA,-0.04,Anolis.sagrei
WPetal,15WP,V,L,-0.06,0.05,0.06,-0.06,0.05,NA,-0.06,Anolis.sagrei
WPetal,15WP,V,L,0.03,0.05,0.03,-0.007,0.03,NA,-0.007,Anolis.sagrei
WPetal,16WP,V,L,-0.0063,0.0003,0.0063,NA,NA,NA,NA,Salmo.trutta
WPetal,16WP,V,L,-0.01669,0.0046,0.01669,NA,NA,NA,NA,Salmo.trutta
WPetal,16WP,V,L,-0.01934,0.0083,0.01934,NA,NA,NA,NA,Salmo.trutta
WPetal,16WP,V,L,0.0047,0.0037,0.0047,NA,NA,NA,NA,Salmo.trutta
WPetal,17WP,P,L,1.44,0.043,1.44,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.05,0.04,0.05,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.222,0.093,0.222,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.047,0.041,0.047,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.352,0.11,0.352,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.216,0.07,0.216,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.621,0.036,0.621,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.066,0.097,0.066,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.069,0.093,0.069,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.119,0.089,0.119,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.001,0.059,0.001,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.026,0.092,0.026,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.013,0.065,0.013,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.456,0.06,0.456,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.018,0.044,0.018,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.013,0.05,0.013,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.069,0.144,0.069,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.033,0.044,0.033,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.093,0.152,0.093,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.027,0.097,0.027,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.959,0.037,0.959,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.038,0.03,0.038,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.006,0.034,0.006,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.28,0.217,0.28,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.019,0.027,0.019,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.375,0.276,0.375,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,-0.216,0.204,0.216,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,17WP,P,L,0.622,0.023,0.622,NA,NA,NA,NA,Lobelia.siphilitica
WPetal,18WP,V,S,0.007,0.03,0.007,-0.05,0.05,NA,-0.05,Homo.sapiens
WPetal,18WP,V,S,0.007,0.03,0.007,-0.002,0.02,NA,-0.002,Homo.sapiens
WPetal,18WP,V,S,0.005,0.03,0.005,-0.078,0.04,NA,-0.078,Homo.sapiens
WPetal,19WP,P,L,0.45,NA,0.45,-0.09,NA,NA,-0.09,Helianthus.anomalus
WPetal,19WP,P,L,0.37,NA,0.37,-0.09,NA,NA,-0.09,Helianthus.anomalus
WPetal,19WP,P,L,0.29,NA,0.29,0.1,NA,0.1,NA,Helianthus.anomalus
WPetal,19WP,P,L,0.35,NA,0.35,-0.02,NA,NA,-0.02,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.12,NA,NA,-0.12,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.15,NA,NA,-0.15,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.02,NA,NA,-0.02,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.05,NA,NA,-0.05,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.16,NA,NA,-0.16,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,0.06,NA,0.06,NA,Helianthus.anomalus
WPetal,19WP,P,L,-0.27,NA,0.27,-0.21,NA,NA,-0.21,Helianthus.anomalus
WPetal,19WP,P,L,-0.23,NA,0.23,-0.01,NA,NA,-0.01,Helianthus.anomalus
WPetal,19WP,P,L,-0.36,NA,0.36,-0.36,NA,NA,-0.36,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.09,NA,NA,-0.09,Helianthus.anomalus
WPetal,19WP,P,L,NA,NA,NA,-0.05,NA,NA,-0.05,Helianthus.anomalus
